"","Date","Time","Origin","Temperature","Date_Time","X","Treatment"
"213",2021-01-09,"11:00:00","Flat",26.097,2021-01-09 11:00:00,NA,NA
"214",2021-01-09,"11:30:00","Slope",26,2021-01-09 11:30:00,NA,NA
"215",2021-01-09,"11:30:00","Slope",26.097,2021-01-09 11:30:00,NA,NA
"216",2021-01-09,"11:30:00","Flat",25.61,2021-01-09 11:30:00,NA,NA
"217",2021-01-09,"11:30:00","Flat",26,2021-01-09 11:30:00,NA,NA
"218",2021-01-09,"12:00:00","Slope",26,2021-01-09 12:00:00,NA,NA
"219",2021-01-09,"12:00:00","Flat",25.61,2021-01-09 12:00:00,NA,NA
"220",2021-01-09,"12:00:00","Flat",26,2021-01-09 12:00:00,NA,NA
"221",2021-01-09,"12:30:00","Slope",26,2021-01-09 12:30:00,NA,NA
"222",2021-01-09,"12:30:00","Flat",25.61,2021-01-09 12:30:00,NA,NA
"223",2021-01-09,"12:30:00","Flat",26,2021-01-09 12:30:00,NA,NA
"224",2021-01-09,"13:00:00","Slope",25.902,2021-01-09 13:00:00,NA,NA
"225",2021-01-09,"13:00:00","Flat",25.513,2021-01-09 13:00:00,NA,NA
"226",2021-01-09,"13:00:00","Flat",25.902,2021-01-09 13:00:00,NA,NA
"227",2021-01-09,"13:30:00","Slope",25.902,2021-01-09 13:30:00,NA,NA
"228",2021-01-09,"13:30:00","Slope",26,2021-01-09 13:30:00,NA,NA
"229",2021-01-09,"13:30:00","Flat",25.513,2021-01-09 13:30:00,NA,NA
"230",2021-01-09,"13:30:00","Flat",25.902,2021-01-09 13:30:00,NA,NA
"231",2021-01-09,"14:00:00","Slope",25.902,2021-01-09 14:00:00,NA,NA
"232",2021-01-09,"14:00:00","Flat",25.513,2021-01-09 14:00:00,NA,NA
"233",2021-01-09,"14:00:00","Flat",25.902,2021-01-09 14:00:00,NA,NA
"234",2021-01-09,"14:30:00","Slope",25.708,2021-01-09 14:30:00,NA,NA
"235",2021-01-09,"14:30:00","Slope",25.805,2021-01-09 14:30:00,NA,NA
"236",2021-01-09,"14:30:00","Flat",25.416,2021-01-09 14:30:00,NA,NA
"237",2021-01-09,"14:30:00","Flat",25.805,2021-01-09 14:30:00,NA,NA
"238",2021-01-09,"15:00:00","Slope",25.708,2021-01-09 15:00:00,NA,NA
"239",2021-01-09,"15:00:00","Flat",25.319,2021-01-09 15:00:00,NA,NA
"240",2021-01-09,"15:00:00","Flat",25.708,2021-01-09 15:00:00,NA,NA
"241",2021-01-09,"15:30:00","Slope",25.708,2021-01-09 15:30:00,NA,NA
"242",2021-01-09,"15:30:00","Flat",25.513,2021-01-09 15:30:00,NA,NA
"243",2021-01-09,"15:30:00","Flat",25.902,2021-01-09 15:30:00,NA,NA
"244",2021-01-09,"16:00:00","Slope",25.708,2021-01-09 16:00:00,NA,NA
"245",2021-01-09,"16:00:00","Flat",25.708,2021-01-09 16:00:00,NA,NA
"246",2021-01-09,"16:00:00","Flat",26.097,2021-01-09 16:00:00,NA,NA
"247",2021-01-09,"16:30:00","Slope",25.708,2021-01-09 16:30:00,NA,NA
"248",2021-01-09,"16:30:00","Flat",25.805,2021-01-09 16:30:00,NA,NA
"249",2021-01-09,"16:30:00","Flat",26.195,2021-01-09 16:30:00,NA,NA
"250",2021-01-09,"17:00:00","Slope",25.805,2021-01-09 17:00:00,NA,NA
"251",2021-01-09,"17:00:00","Flat",25.902,2021-01-09 17:00:00,NA,NA
"252",2021-01-09,"17:00:00","Flat",26.292,2021-01-09 17:00:00,NA,NA
"253",2021-01-09,"17:30:00","Slope",25.708,2021-01-09 17:30:00,NA,NA
"254",2021-01-09,"17:30:00","Slope",25.805,2021-01-09 17:30:00,NA,NA
"255",2021-01-09,"17:30:00","Flat",25.902,2021-01-09 17:30:00,NA,NA
"256",2021-01-09,"17:30:00","Flat",26.292,2021-01-09 17:30:00,NA,NA
"257",2021-01-09,"18:00:00","Slope",25.902,2021-01-09 18:00:00,NA,NA
"258",2021-01-09,"18:00:00","Flat",25.902,2021-01-09 18:00:00,NA,NA
"259",2021-01-09,"18:00:00","Flat",26.292,2021-01-09 18:00:00,NA,NA
"260",2021-01-09,"18:30:00","Slope",25.902,2021-01-09 18:30:00,NA,NA
"261",2021-01-09,"18:30:00","Slope",26,2021-01-09 18:30:00,NA,NA
"262",2021-01-09,"18:30:00","Flat",25.902,2021-01-09 18:30:00,NA,NA
"263",2021-01-09,"18:30:00","Flat",26.195,2021-01-09 18:30:00,NA,NA
"264",2021-01-09,"19:00:00","Slope",26,2021-01-09 19:00:00,NA,NA
"265",2021-01-09,"19:00:00","Flat",25.805,2021-01-09 19:00:00,NA,NA
"266",2021-01-09,"19:00:00","Flat",26.195,2021-01-09 19:00:00,NA,NA
"267",2021-01-09,"19:30:00","Slope",25.902,2021-01-09 19:30:00,NA,NA
"268",2021-01-09,"19:30:00","Flat",25.708,2021-01-09 19:30:00,NA,NA
"269",2021-01-09,"19:30:00","Flat",26.097,2021-01-09 19:30:00,NA,NA
"270",2021-01-09,"20:00:00","Slope",25.902,2021-01-09 20:00:00,NA,NA
"271",2021-01-09,"20:00:00","Flat",25.513,2021-01-09 20:00:00,NA,NA
"272",2021-01-09,"20:00:00","Flat",25.902,2021-01-09 20:00:00,NA,NA
"273",2021-01-09,"20:30:00","Slope",25.805,2021-01-09 20:30:00,NA,NA
"274",2021-01-09,"20:30:00","Slope",25.902,2021-01-09 20:30:00,NA,NA
"275",2021-01-09,"20:30:00","Flat",25.416,2021-01-09 20:30:00,NA,NA
"276",2021-01-09,"20:30:00","Flat",25.805,2021-01-09 20:30:00,NA,NA
"277",2021-01-09,"21:00:00","Slope",25.805,2021-01-09 21:00:00,NA,NA
"278",2021-01-09,"21:00:00","Flat",25.416,2021-01-09 21:00:00,NA,NA
"279",2021-01-09,"21:00:00","Flat",25.708,2021-01-09 21:00:00,NA,NA
"280",2021-01-09,"21:30:00","Slope",25.708,2021-01-09 21:30:00,NA,NA
"281",2021-01-09,"21:30:00","Flat",25.319,2021-01-09 21:30:00,NA,NA
"282",2021-01-09,"21:30:00","Flat",25.708,2021-01-09 21:30:00,NA,NA
"283",2021-01-09,"22:00:00","Slope",25.61,2021-01-09 22:00:00,NA,NA
"284",2021-01-09,"22:00:00","Slope",25.708,2021-01-09 22:00:00,NA,NA
"285",2021-01-09,"22:00:00","Flat",25.222,2021-01-09 22:00:00,NA,NA
"286",2021-01-09,"22:00:00","Flat",25.61,2021-01-09 22:00:00,NA,NA
"287",2021-01-09,"22:30:00","Slope",25.61,2021-01-09 22:30:00,NA,NA
"288",2021-01-09,"22:30:00","Flat",25.125,2021-01-09 22:30:00,NA,NA
"289",2021-01-09,"22:30:00","Flat",25.416,2021-01-09 22:30:00,NA,NA
"290",2021-01-09,"23:00:00","Slope",25.416,2021-01-09 23:00:00,NA,NA
"291",2021-01-09,"23:00:00","Flat",24.931,2021-01-09 23:00:00,NA,NA
"292",2021-01-09,"23:00:00","Flat",25.319,2021-01-09 23:00:00,NA,NA
"293",2021-01-09,"23:30:00","Slope",25.319,2021-01-09 23:30:00,NA,NA
"294",2021-01-09,"23:30:00","Flat",24.835,2021-01-09 23:30:00,NA,NA
"295",2021-01-09,"23:30:00","Flat",25.222,2021-01-09 23:30:00,NA,NA
"296",2021-01-10,"00:00:00","Slope",25.222,2021-01-10 00:00:00,NA,NA
"297",2021-01-10,"00:00:00","Slope",25.319,2021-01-10 00:00:00,NA,NA
"298",2021-01-10,"00:00:00","Flat",24.738,2021-01-10 00:00:00,NA,NA
"299",2021-01-10,"00:00:00","Flat",25.125,2021-01-10 00:00:00,NA,NA
"300",2021-01-10,"00:30:00","Slope",25.319,2021-01-10 00:30:00,NA,NA
"301",2021-01-10,"00:30:00","Flat",24.641,2021-01-10 00:30:00,NA,NA
"302",2021-01-10,"00:30:00","Flat",25.028,2021-01-10 00:30:00,NA,NA
"303",2021-01-10,"01:00:00","Slope",25.125,2021-01-10 01:00:00,NA,NA
"304",2021-01-10,"01:00:00","Slope",25.222,2021-01-10 01:00:00,NA,NA
"305",2021-01-10,"01:00:00","Flat",24.545,2021-01-10 01:00:00,NA,NA
"306",2021-01-10,"01:00:00","Flat",24.931,2021-01-10 01:00:00,NA,NA
"307",2021-01-10,"01:30:00","Slope",25.513,2021-01-10 01:30:00,NA,NA
"308",2021-01-10,"01:30:00","Flat",24.448,2021-01-10 01:30:00,NA,NA
"309",2021-01-10,"01:30:00","Flat",24.835,2021-01-10 01:30:00,NA,NA
"310",2021-01-10,"02:00:00","Slope",25.805,2021-01-10 02:00:00,NA,NA
"311",2021-01-10,"02:00:00","Flat",24.351,2021-01-10 02:00:00,NA,NA
